gender,age,attendance_rate,study_hours_per_week,previous_gpa,internet_access,family_income_level,extracurricular,sleep_hours,final_result
Male,22,67.41,28,2.67,0,Medium,1,6.23,0
Female,23,81.68,7,3.96,0,Medium,0,6.23,0
Male,17,94.92,28,3.71,1,High,0,6.23,1
Male,17,89.29,14,3.4,1,Low,1,6.23,1
Male,17,92.26,10,3.45,1,Medium,1,6.23,0
Female,21,86.35,16,3.12,0,High,0,6.23,1
Male,20,87.69,16,3.89,1,High,1,6.23,1
Male,21,93.97,31,2.99,0,Medium,1,6.23,1
Male,20,69.99,25,2.76,0,Low,1,6.23,0
Female,24,79.58,13,2.33,0,Medium,0,6.23,0
Male,21,68.85,6,3.57,1,Low,0,6.23,0
Male,21,99.51,9,3.47,1,Low,1,6.23,0
Male,22,97.76,20,2.77,1,Low,1,6.23,1
Male,19,61.58,18,2.05,1,Low,0,6.23,0
Female,21,88.22,21,3.68,0,Medium,1,6.23,1
Male,22,97.01,4,2.02,1,High,0,6.23,0
Female,18,67.22,33,3.41,0,High,1,6.23,0
Female,19,82.72,27,3.94,1,High,1,6.23,1
Female,24,96.62,7,2.88,1,High,1,6.23,0
Male,21,61.36,6,2.47,1,High,0,6.23,0
Female,23,87.9,15,3.41,0,High,0,6.23,1
Male,17,71.89,18,3.63,0,Medium,0,6.23,0
Female,18,96.98,32,3.09,0,Low,0,6.23,1
Female,18,98.84,11,3.93,0,High,1,6.23,1
Female,24,97.77,20,2.1,0,Medium,1,6.23,0
Female,22,78.97,24,3.01,1,High,0,6.23,1
Female,18,94.48,15,3.44,0,High,1,6.23,1
Female,19,93.78,7,3.73,0,Low,1,6.23,0
Female,21,72.76,21,2.36,0,Low,0,6.23,0
Female,21,93.16,26,3.6,0,Low,1,6.23,1
Male,23,61.48,14,3.11,1,High,1,6.23,0
Male,24,83.85,21,2.79,0,High,0,6.23,1
Female,17,69.2,18,2.26,1,High,1,6.23,0
Female,22,64.82,5,3.73,1,Low,1,6.23,0
Female,17,63.08,3,2.31,1,Medium,1,6.23,0
Male,18,87.85,23,2.62,0,High,0,6.23,1
Female,24,73.59,26,2.58,1,High,0,6.23,0
Male,23,88.99,24,3.74,0,High,1,6.23,1
Male,17,62.61,19,3.35,0,Medium,1,6.23,0
Male,19,72.61,25,3.59,0,High,1,6.23,0
Male,21,81.58,21,2.5,0,Medium,0,6.23,0
Male,18,91.63,12,3.25,0,High,0,6.23,1
Female,23,72.75,33,3.14,1,Medium,0,6.23,0
Female,17,85.04,4,3.67,1,High,1,6.23,0
Female,22,95.44,7,3.81,0,Low,1,6.23,0
Female,19,84.63,22,2.02,1,Low,1,6.23,0
Female,19,69.32,33,3.35,0,Low,1,6.23,0
Male,17,60.98,17,2.1,1,Low,1,6.23,0
Female,21,94.8,24,3.1,1,High,0,6.23,1
Female,17,60.85,34,2.58,1,Low,1,6.23,0
Male,18,94.99,28,2.61,1,Medium,1,6.23,1
Female,17,81.16,22,2.71,1,Low,1,6.23,1
Male,19,97.56,17,3.24,0,Low,0,6.23,1
Female,23,91.95,34,2.67,0,Low,1,6.23,1
Male,17,99.92,6,3.47,1,High,0,6.23,0
Female,21,74.03,6,2.81,0,Low,0,6.23,0
Female,24,90.69,34,2.14,1,Medium,0,6.23,0
Male,23,76.08,1,3.57,0,Low,0,6.23,0
Male,22,79.2,10,2.57,1,Low,0,6.23,0
Male,20,85.1,21,2.87,1,Low,1,6.23,1
Male,17,94.95,5,3.37,1,Medium,1,6.23,0
Male,21,99.36,2,2.66,0,Low,0,6.23,0
Male,23,90.73,22,2.11,0,Medium,0,6.23,0
Male,21,76.71,2,2.75,1,Medium,0,6.23,0
Male,22,76.85,10,3.89,1,Low,1,6.23,0
Female,19,89.5,34,3.28,0,Medium,1,6.23,1
Female,21,69.55,16,3.34,0,High,0,6.23,0
Male,23,64.42,22,3.26,0,Low,1,6.23,0
Female,21,74.18,12,2.4,0,Low,1,6.23,0
Female,21,71.49,24,2.84,0,Medium,0,6.23,0
Female,21,71.85,10,3.5,1,Medium,0,6.23,0
Female,18,69.34,32,2.2,0,Low,1,6.23,0
Male,18,61.68,7,2.56,1,High,1,6.23,0
Female,19,60.71,21,2.55,1,Medium,1,6.23,0
Male,17,99.51,20,2.86,0,Medium,0,6.23,1
Female,21,77.11,26,3.96,0,High,0,6.23,1
Female,22,75.37,4,2.14,1,High,0,6.23,0
Female,17,87.19,22,3.04,0,Low,1,6.23,1
Male,22,68.73,15,2.36,1,High,1,6.23,0
Female,17,98.0,21,3.94,0,Low,0,6.23,1
Male,19,91.45,15,2.23,0,High,1,6.23,0
Female,21,63.58,22,2.81,0,Medium,0,6.23,0
Male,21,76.7,28,3.48,1,Low,1,6.23,1
Female,20,95.16,14,3.41,0,Low,0,6.23,1
Male,22,97.79,27,2.85,1,Low,1,6.23,1
Male,17,78.7,28,2.69,0,High,1,6.23,1
Female,17,84.54,26,2.8,1,Medium,0,6.23,1
Male,24,66.68,2,2.53,0,Low,0,6.23,0
Female,24,99.65,25,2.41,1,Low,0,6.23,0
Female,18,69.27,3,2.97,1,Low,0,6.23,0
Female,20,97.71,8,2.54,1,Low,0,6.23,0
Female,23,85.99,33,2.57,1,Medium,1,6.23,1
Female,24,84.31,6,3.31,1,High,0,6.23,0
Female,23,80.51,23,3.94,1,Medium,0,6.23,1
Female,18,69.23,25,3.21,0,Low,0,6.23,0
Female,18,67.06,19,2.15,1,Medium,0,6.23,0
Female,18,68.82,5,2.15,1,Low,0,6.23,0
Female,22,67.46,11,3.9,1,High,1,6.23,0
Female,22,91.18,12,2.59,0,High,0,6.23,1
Male,19,74.01,10,2.18,0,High,0,6.23,0
Male,19,62.31,8,3.2,0,Low,0,6.23,0
Female,18,98.76,24,3.25,1,Medium,1,6.23,1
Female,20,95.35,28,3.3,0,High,1,6.23,1
Female,17,97.11,21,2.53,0,Low,0,6.23,1
